Type,Date,Candle_Percent,MACD_Percent
HBullDivg_Classic,2018-03-12 00:00:00+0000,0.4,3.25
HBullDivg_Classic,2018-03-26 00:00:00+0000,0.4,3.25
CBullDivg_Classic,2018-06-18 00:00:00+0000,0.4,3.25
CBullDivg_Hidden,2018-06-18 00:00:00+0000,0.4,3.25
HBearDivg_Classic,2018-07-23 00:00:00+0000,0.4,3.25
HBearDivg_Classic,2018-11-05 00:00:00+0000,0.4,3.25
CBullDivg_Hidden,2019-11-25 00:00:00+0000,0.4,3.25
CBullDivg_Hidden,2020-03-23 00:00:00+0000,0.4,3.25
HBullDivg_Classic,2020-09-21 00:00:00+0000,0.4,3.25
HBullDivg_Classic,2021-05-17 00:00:00+0000,0.4,3.25
HBullDivg_Classic,2021-05-31 00:00:00+0000,0.4,3.25
HBullDivg_Hidden,2021-05-31 00:00:00+0000,0.4,3.25
HBullDivg_Classic,2021-06-07 00:00:00+0000,0.4,3.25
CBullDivg_Classic,2021-06-14 00:00:00+0000,0.4,3.25
CBullDivg_Hidden,2021-06-14 00:00:00+0000,0.4,3.25
HBullDivg_Classic,2021-06-21 00:00:00+0000,0.4,3.25
HBullDivg_Classic,2021-11-29 00:00:00+0000,0.4,3.25
HBullDivg_Classic,2021-12-13 00:00:00+0000,0.4,3.25
CBullDivg_Hidden,2022-01-24 00:00:00+0000,0.4,3.25
CBullDivg_Classic,2022-05-09 00:00:00+0000,0.4,3.25
CBullDivg_Classic,2022-05-23 00:00:00+0000,0.4,3.25
CBullDivg_Hidden,2022-05-23 00:00:00+0000,0.4,3.25
HBullDivg_Classic,2022-06-27 00:00:00+0000,0.4,3.25
HBearDivg_Classic,2022-09-12 00:00:00+0000,0.4,3.25
HBearDivg_Classic,2022-10-03 00:00:00+0000,0.4,3.25
CBullDivg_Classic,2022-10-10 00:00:00+0000,0.4,3.25
HBearDivg_Classic,2022-10-31 00:00:00+0000,0.4,3.25
CBullDivg_Classic,2022-11-07 00:00:00+0000,0.4,3.25
HBullDivg_Classic,2023-05-08 00:00:00+0000,0.4,3.25
HBullDivg_Classic,2023-05-22 00:00:00+0000,0.4,3.25
HBullDivg_Classic,2023-06-12 00:00:00+0000,0.4,3.25
HBullDivg_Classic,2023-08-14 00:00:00+0000,0.4,3.25
HBullDivg_Classic,2023-09-04 00:00:00+0000,0.4,3.25
HBullDivg_Hidden,2023-09-04 00:00:00+0000,0.4,3.25
HBullDivg_Classic,2023-09-11 00:00:00+0000,0.4,3.25
HBullDivg_Classic,2024-04-29 00:00:00+0000,0.4,3.25
HBearDivg_Classic,2024-08-19 00:00:00+0000,0.4,3.25
HBullDivg_Classic,2024-09-02 00:00:00+0000,0.4,3.25
HBearDivg_Classic,2024-09-23 00:00:00+0000,0.4,3.25
